Epoch,Number_of_Unlabed_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.1631,0.5623,0.9144,0.6419,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
2,959,0.8286,0.6797,0.7828,0.7075,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
3,1653,0.6967,0.7339,0.7313,0.7282,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
4,1762,0.6442,0.7553,0.6522,0.7507,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
5,2217,0.5768,0.7858,0.6381,0.7564,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
6,2270,0.5458,0.8004,0.5305,0.796,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
7,2811,0.4976,0.8167,0.5278,0.7987,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
8,2844,0.4625,0.8284,0.5771,0.7797,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
9,2972,0.4538,0.8338,0.981,0.7806,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
10,3400,0.4479,0.84,0.5494,0.7934,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
11,3249,0.4096,0.8529,0.4441,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
12,3425,0.3895,0.8588,0.4706,0.811,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
13,3234,0.3626,0.8676,0.5257,0.8066,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
14,3580,0.3711,0.8614,0.4213,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
15,3722,0.3461,0.8707,0.4027,0.8463,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
16,3804,0.326,0.8792,0.4438,0.8348,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
17,3885,0.3195,0.8834,0.4407,0.8348,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
18,4122,0.3167,0.8821,0.3785,0.8533,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
19,4327,0.2937,0.8953,0.3567,0.8555,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
20,4052,0.2844,0.8939,0.4508,0.8546,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
21,4379,0.297,0.8921,0.7156,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
22,4288,0.3039,0.8905,0.4014,0.8648,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
23,3963,0.303,0.89,0.3684,0.8661,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
24,4471,0.2698,0.8993,0.3697,0.8621,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
25,4196,0.2641,0.9012,0.363,0.8643,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
26,4242,0.2527,0.9059,0.4144,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
27,4229,0.2763,0.8989,0.3817,0.8577,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
28,4546,0.2526,0.9068,0.3404,0.8731,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
29,4385,0.2332,0.9142,0.3375,0.8789,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
30,4544,0.1664,0.9397,0.2669,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
31,4928,0.1413,0.949,0.2568,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
32,5084,0.1316,0.9528,0.2619,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
33,5182,0.1297,0.9524,0.2572,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
34,5177,0.1242,0.9566,0.2718,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
35,5272,0.1164,0.9579,0.268,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
36,5250,0.1138,0.9588,0.2661,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
37,5299,0.1109,0.9595,0.2601,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
38,5354,0.1079,0.9604,0.2623,0.9075,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
39,5393,0.1094,0.9607,0.2721,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
40,5384,0.112,0.9604,0.2685,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
41,5389,0.1018,0.9632,0.2604,0.9066,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
42,5434,0.1003,0.964,0.2679,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
43,5469,0.0972,0.9645,0.266,0.9084,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
44,5502,0.0955,0.965,0.2764,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
45,5490,0.0965,0.9646,0.2775,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
46,5512,0.0942,0.9648,0.2819,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
47,5500,0.091,0.9661,0.274,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
48,5580,0.0952,0.9654,0.2767,0.9097,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
49,5560,0.0877,0.9692,0.2772,0.9093,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
50,5610,0.0863,0.9688,0.2736,0.9066,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
51,5614,0.0861,0.9694,0.2831,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
52,5627,0.0881,0.9678,0.2959,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
53,5610,0.0802,0.9708,0.2794,0.9057,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
54,5614,0.0819,0.9698,0.2948,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
55,5668,0.0794,0.9718,0.2856,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
56,5660,0.0772,0.9715,0.2949,0.9084,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38
