Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter,Hours
1,None,1.1658,0.5637,0.9488,0.6304,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
2,581,0.8526,0.6742,0.7674,0.6916,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
3,1275,0.7112,0.7284,0.7519,0.7132,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
4,1695,0.6381,0.759,0.6987,0.7388,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
5,2425,0.5912,0.7779,0.6601,0.7432,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
6,2043,0.5629,0.7837,0.5271,0.7938,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
7,2469,0.4904,0.8146,0.562,0.7894,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
8,3017,0.462,0.8257,0.5378,0.7859,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
9,3197,0.4405,0.8371,0.4717,0.8264,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
10,3140,0.428,0.8384,1.015,0.8097,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
11,3204,0.4184,0.8514,0.447,0.8189,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
12,3253,0.3755,0.8628,0.403,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
13,3570,0.378,0.8595,0.5537,0.8044,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
14,4031,0.3673,0.866,0.4685,0.8211,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
15,3527,0.3499,0.8681,0.4639,0.8167,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
16,3791,0.3337,0.8742,0.3957,0.8507,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
17,4140,0.3141,0.8818,0.4036,0.8449,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
18,4012,0.3027,0.8858,0.5355,0.8048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
19,4027,0.3249,0.8797,0.4373,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
20,4074,0.2943,0.8909,0.3528,0.8652,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
21,4123,0.2868,0.8946,0.4331,0.8322,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
22,4221,0.2862,0.8955,0.3315,0.8692,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
23,4284,0.2636,0.9034,0.409,0.8507,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
24,4359,0.2863,0.8928,0.3731,0.8621,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
25,4269,0.2739,0.8987,0.6811,0.7736,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
26,3629,0.3175,0.883,0.3885,0.8524,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
27,4114,0.2602,0.9011,0.4393,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
28,4255,0.2564,0.9044,0.3641,0.8581,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
29,4429,0.2491,0.9088,0.3722,0.8736,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
30,4503,0.1679,0.9392,0.2637,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
