Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter,Hours,Latency
1,None,1.1671,0.5561,0.9479,0.6181,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
2,1322,0.8080,0.6940,0.7920,0.6903,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
3,1665,0.7238,0.7242,0.7540,0.7070,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
4,1832,0.6602,0.7473,0.6862,0.7260,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
5,1917,0.5947,0.7720,0.6655,0.7423,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
6,2120,0.5663,0.7834,0.6514,0.7652,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
7,2597,0.5473,0.7959,0.7380,0.7242,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
8,2491,0.5118,0.8081,0.6555,0.7529,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
9,2706,0.4906,0.8131,0.6178,0.7678,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
10,2693,0.4570,0.8264,0.6555,0.7674,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
11,2651,0.4549,0.8300,0.5553,0.7828,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
12,3187,0.4249,0.8413,0.5034,0.7987,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
13,3218,0.3948,0.8511,0.5724,0.7868,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
14,3381,0.4002,0.8478,0.5545,0.7881,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
15,3268,0.3784,0.8579,0.4847,0.8194,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
16,3448,0.3664,0.8644,0.5113,0.8167,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
17,3535,0.3643,0.8646,0.5333,0.7947,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
18,3365,0.3415,0.8697,0.4736,0.8128,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
19,3427,0.3440,0.8691,0.4859,0.8022,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
20,3604,0.3389,0.8762,0.4710,0.8172,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
21,3761,0.3157,0.8839,0.5287,0.8035,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
22,3655,0.3106,0.8862,0.5166,0.8128,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
23,4198,0.3040,0.8850,0.4977,0.8247,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
24,3945,0.2797,0.8958,0.4353,0.8242,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
25,4018,0.3002,0.8857,0.4429,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
26,4154,0.2726,0.8964,0.4829,0.8260,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
27,4442,0.2714,0.8992,0.4172,0.8401,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
28,4202,0.2587,0.9019,0.5848,0.8106,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
29,4517,0.2815,0.8946,0.4392,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
30,3932,0.1826,0.9351,0.3530,0.8665,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
31,4637,0.1513,0.9471,0.3542,0.8722,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
32,4816,0.1386,0.9508,0.3527,0.8736,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
33,4930,0.1386,0.9518,0.3583,0.8780,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
34,4947,0.1313,0.9523,0.3644,0.8718,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
35,5019,0.1256,0.9544,0.3699,0.8749,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
