Epoch,Number_of_Unlabed_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.1657,0.5569,0.8842,0.6626,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
2,1234,0.8504,0.6735,0.7567,0.7066,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
3,1655,0.7294,0.7206,0.8633,0.6863,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
4,2372,0.6396,0.7602,0.6382,0.7599,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
5,1950,0.6411,0.7596,0.8884,0.67,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
6,1772,0.6079,0.7719,0.715,0.7278,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
7,2049,0.5373,0.7996,1.2868,0.6352,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
8,2957,0.5899,0.789,0.7509,0.7837,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
9,2766,0.4767,0.8268,0.68,0.7498,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
10,2814,0.4621,0.8273,0.816,0.7057,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
11,2727,0.4747,0.8244,1.1323,0.8044,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
12,2868,0.4612,0.8313,0.5417,0.8141,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
13,2809,0.4041,0.8464,0.5706,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
14,2852,0.4004,0.8518,0.4434,0.8273,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
15,3275,0.3657,0.8636,0.4307,0.8291,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
16,3500,0.3714,0.8624,0.422,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
17,3390,0.3526,0.8671,0.417,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
18,3754,0.3435,0.8768,0.5567,0.8053,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
19,3482,0.3421,0.8723,0.4543,0.8251,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
20,3596,0.3503,0.8687,0.3809,0.8546,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
21,3700,0.3138,0.8807,0.4551,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
22,3876,0.3308,0.8749,0.3446,0.8621,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
23,3996,0.3013,0.889,0.3468,0.8683,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
24,3960,0.302,0.8853,0.3953,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
25,3966,0.2962,0.8921,1.3276,0.8247,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
26,3923,0.3618,0.8729,0.4425,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
27,3659,0.3149,0.8855,0.4443,0.8348,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
28,3941,0.3073,0.8862,0.3467,0.8626,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
29,4014,0.285,0.8932,0.4719,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
30,4417,0.2186,0.9192,0.2981,0.8868,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
31,4598,0.1914,0.9295,0.2742,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
32,4635,0.1733,0.9364,0.2697,0.893,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
33,4768,0.1678,0.9387,0.2664,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
34,4815,0.1716,0.9366,0.2755,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
35,4833,0.1643,0.9393,0.2731,0.8934,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
36,4820,0.1607,0.9406,0.2732,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
37,4886,0.1606,0.9412,0.274,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
38,4958,0.157,0.9414,0.2724,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
39,4886,0.1568,0.9415,0.27,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
40,4939,0.157,0.9408,0.2846,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
41,5001,0.1524,0.9425,0.2731,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
42,5036,0.1461,0.9453,0.2986,0.8912,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
43,5023,0.1471,0.9462,0.2624,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
44,5034,0.1463,0.9458,0.2693,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
45,5016,0.1408,0.947,0.2684,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
46,5083,0.139,0.9491,0.2707,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
47,5102,0.1381,0.948,0.2791,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
48,5154,0.1385,0.9486,0.2721,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
49,5112,0.1377,0.9475,0.262,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
50,5130,0.1315,0.9502,0.2817,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
51,5106,0.1348,0.951,0.2698,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
52,5129,0.1311,0.9536,0.2733,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
53,5132,0.1241,0.9546,0.2743,0.9035,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
54,5170,0.127,0.9524,0.2729,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
55,5221,0.1305,0.9505,0.271,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
56,5129,0.1214,0.9549,0.2738,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
57,5182,0.1202,0.9541,0.2789,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
58,5235,0.115,0.9582,0.2972,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
59,5242,0.1187,0.9552,0.2971,0.889,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
60,5236,0.1103,0.958,0.2726,0.9066,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
61,5302,0.0947,0.9665,0.2644,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
62,5334,0.0966,0.9652,0.2642,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
63,5351,0.096,0.9667,0.2647,0.9084,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
64,5347,0.0961,0.9677,0.2634,0.9079,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
65,5337,0.0964,0.9665,0.2605,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
66,5320,0.0928,0.9685,0.2598,0.9101,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
67,5335,0.0942,0.9661,0.2689,0.907,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
68,5348,0.0934,0.9677,0.2626,0.9084,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
69,5316,0.0902,0.9682,0.2728,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
70,5373,0.0916,0.9675,0.2753,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
71,5342,0.0901,0.9684,0.2705,0.9088,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
72,5379,0.0903,0.9672,0.2749,0.9066,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
73,5397,0.0925,0.9682,0.2661,0.9093,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
74,5366,0.0912,0.9666,0.2699,0.9075,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
75,5386,0.0919,0.9673,0.2616,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
76,5369,0.0909,0.969,0.267,0.907,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
77,5400,0.0926,0.9671,0.2718,0.9057,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
78,5412,0.0921,0.9672,0.2654,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
79,5400,0.0887,0.9694,0.2733,0.9057,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
80,5393,0.0876,0.969,0.2739,0.9066,0.3066,0.8991,0.9034,0.8923,0.8971,0.9565,0.9152,0.7809,0.919,0.814,0.9331,0.9273,[[330  13   0   1   0   0   1] [ 13 356  20   0   0   0   0] [  0  18 253  47   4   2   0] [  0   1  31 420   3   0   2] [  0   2   6  20 140   3   1] [  0   0   2   3   3 223   8] [  0   2   1   3   2  17 319]],50.11
