Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.1973,0.5488,0.9297,0.6700,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
2,1351,0.8481,0.6802,0.9282,0.6493,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
3,1590,0.7499,0.7181,1.0138,0.6300,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
4,1461,0.6893,0.7355,0.8378,0.7154,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
5,1936,0.6187,0.7705,0.8242,0.6789,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
6,2016,0.5845,0.7808,0.6643,0.7405,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
7,2720,0.5352,0.8038,0.7413,0.7546,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
8,2757,0.5298,0.8036,0.5617,0.7819,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
9,3048,0.4952,0.8216,0.6670,0.7581,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
10,2451,0.4696,0.8239,0.4495,0.8251,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
11,2994,0.4106,0.8456,0.5229,0.8053,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
12,3406,0.4070,0.8526,1.0088,0.6996,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
13,2825,0.4309,0.8407,0.5077,0.8101,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
14,3724,0.3839,0.8589,0.4917,0.8137,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
15,3448,0.3652,0.8650,0.4257,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
16,3761,0.3444,0.8751,0.4958,0.8198,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
17,3378,0.3578,0.8702,0.4594,0.8207,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
18,3407,0.3599,0.8643,0.6766,0.7471,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
19,3649,0.3562,0.8673,0.3867,0.8480,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
20,3762,0.3282,0.8797,0.4134,0.8476,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
21,3562,0.3270,0.8782,0.4507,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
22,4159,0.3240,0.8804,0.3860,0.8652,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
23,3911,0.3122,0.8817,0.5396,0.8159,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
24,3795,0.3335,0.8748,0.3549,0.8670,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
25,4131,0.2942,0.8925,0.4766,0.8269,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
26,3997,0.3041,0.8885,0.3902,0.8493,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
27,4041,0.2977,0.8918,0.3334,0.8714,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
28,4059,0.2960,0.8901,0.4048,0.8410,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
29,4005,0.2937,0.8904,0.4654,0.8260,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
30,4133,0.2170,0.9188,0.2722,0.8916,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
31,4503,0.1824,0.9334,0.2739,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
32,4663,0.1733,0.9379,0.2605,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
33,4711,0.1671,0.9383,0.2488,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
34,4794,0.1620,0.9398,0.2679,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
35,4828,0.1674,0.9374,0.2693,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
