Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,2.6196,0.3766,1.2518,0.4916,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
2,1.1445,0.5499,1.0373,0.6084,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
3,1.0333,0.5946,0.9356,0.6322,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
4,0.9576,0.6240,0.9380,0.6419,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
5,0.8935,0.6477,0.8715,0.6405,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
6,0.8474,0.6671,0.7972,0.6859,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
7,0.7972,0.6883,0.8687,0.6678,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
8,0.7647,0.7029,0.6702,0.7366,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
9,0.7242,0.7145,0.6716,0.7339,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
10,0.7059,0.7221,0.6301,0.7396,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
11,0.6641,0.7392,0.7071,0.7075,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
12,0.6662,0.7427,0.6509,0.7388,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
13,0.6577,0.7439,0.5956,0.7696,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
14,0.6350,0.7475,0.7061,0.7247,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
15,0.6239,0.7544,0.5995,0.7665,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
16,0.6151,0.7613,0.6054,0.7577,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
17,0.6045,0.7649,0.5735,0.7696,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
