Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,3.609,0.3472,1.3478,0.4295,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
2,1.2443,0.5076,1.2396,0.5216,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
3,1.1117,0.5623,1.0037,0.5877,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
4,1.0586,0.5814,1.0899,0.6,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
5,1.0129,0.5974,0.9348,0.6247,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
6,0.9786,0.6126,0.9292,0.6225,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
7,0.9436,0.6265,0.9144,0.6471,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
8,0.913,0.644,0.8431,0.6634,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
9,0.8522,0.6595,0.7972,0.6846,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
10,0.8296,0.6791,0.7937,0.6925,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
11,0.7625,0.6987,0.7286,0.7057,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
12,0.7381,0.7154,0.6933,0.7238,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
13,0.7202,0.7142,0.715,0.7115,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
14,0.694,0.7254,0.629,0.752,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
15,0.6753,0.7378,0.6512,0.733,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
16,0.6548,0.748,0.6103,0.7546,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
17,0.6352,0.7518,0.674,0.7352,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
18,0.6296,0.7558,0.6194,0.752,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
19,0.6178,0.7591,0.5777,0.7573,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
20,0.6177,0.759,0.7069,0.7273,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
21,0.5902,0.7644,0.656,0.748,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
22,0.5892,0.7666,0.5898,0.7634,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
23,0.5711,0.7776,0.6002,0.7634,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
24,0.5761,0.7762,0.6037,0.7612,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
25,0.5546,0.7829,0.5403,0.7718,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
26,0.5461,0.7863,0.6057,0.7555,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
27,0.5264,0.7963,0.562,0.7643,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
28,0.5424,0.7859,0.5821,0.7683,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
29,0.5084,0.8031,0.5215,0.7921,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
30,0.418,0.8356,0.4393,0.8238,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
31,0.3993,0.8442,0.4336,0.8238,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
32,0.3936,0.8461,0.4272,0.8304,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
33,0.3872,0.8472,0.4228,0.826,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
34,0.3838,0.8496,0.4203,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
35,0.3814,0.8487,0.4177,0.8278,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
36,0.3772,0.8524,0.4132,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
37,0.3709,0.8544,0.4128,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
38,0.3726,0.8536,0.4169,0.8317,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
39,0.3671,0.8538,0.4156,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
40,0.3696,0.8529,0.4208,0.8304,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
41,0.363,0.8581,0.4195,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
42,0.3612,0.8588,0.4102,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
43,0.3564,0.8606,0.4096,0.8251,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
44,0.3546,0.857,0.4007,0.8348,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
45,0.3561,0.8591,0.4011,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
46,0.3497,0.8615,0.4146,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
47,0.3502,0.8627,0.3986,0.8392,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
48,0.3442,0.8646,0.4068,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
49,0.3461,0.8628,0.4164,0.8286,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
50,0.3435,0.8659,0.3942,0.8419,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
51,0.3367,0.8664,0.4004,0.8449,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
52,0.3364,0.8664,0.4092,0.8339,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
53,0.3291,0.8686,0.3871,0.8449,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
54,0.3298,0.8687,0.4365,0.833,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
55,0.328,0.8713,0.3992,0.8476,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
56,0.3256,0.8742,0.4101,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
57,0.3223,0.8714,0.4021,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
58,0.3226,0.8731,0.4047,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
59,0.3153,0.8743,0.4199,0.8432,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
60,0.2842,0.8874,0.3792,0.8498,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
61,0.2781,0.8915,0.3735,0.8524,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
62,0.2791,0.8911,0.374,0.8542,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
63,0.2786,0.8912,0.3747,0.8564,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
64,0.2779,0.8917,0.3797,0.8564,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
65,0.2766,0.8909,0.3744,0.859,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
66,0.2739,0.8926,0.3768,0.8559,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
67,0.2744,0.8951,0.377,0.8542,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
68,0.2718,0.8946,0.3797,0.8542,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
69,0.2731,0.8926,0.3786,0.8559,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
70,0.2705,0.8944,0.3828,0.852,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
71,0.2678,0.8961,0.3811,0.8529,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
72,0.2676,0.8956,0.3787,0.8559,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
73,0.2722,0.8907,0.3825,0.8498,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
74,0.2675,0.8961,0.3892,0.8533,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
75,0.2659,0.8969,0.3811,0.8577,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
76,0.2682,0.8959,0.382,0.8533,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
77,0.269,0.8924,0.3811,0.8559,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
78,0.2671,0.8929,0.3787,0.8551,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
79,0.2645,0.8952,0.3801,0.8551,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
80,0.2673,0.8944,0.3848,0.8568,0.4101,0.8489,0.841,0.8342,0.8371,0.9623,0.8483,0.7716,0.8337,0.6453,0.8452,0.9331,[[332  11   2   0   0   0   0]  [ 24 330  29   5   0   0   1]  [  0  19 250  44   7   3   1]  [  0   6  40 381  23   4   3]  [  0   2  15  37 111   7   0]  [  2   2   4   4  14 202  11]  [  1   2   2   2   1  15 321]],87.57
