Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.1157,0.5656,1.0820,0.5885,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
2,0.8909,0.6503,0.9507,0.6269,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
3,0.8015,0.6860,1.0375,0.6269,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
4,0.7408,0.7132,0.6572,0.7396,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
5,0.7342,0.7169,0.6127,0.7612,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
6,0.6838,0.7366,0.6859,0.7304,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
7,0.6586,0.7420,0.6697,0.7198,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
8,0.6408,0.7488,0.5876,0.7634,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
9,0.6223,0.7602,0.6001,0.7612,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
10,0.6027,0.7631,0.6397,0.7458,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
11,0.5844,0.7726,0.5726,0.7815,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
12,0.5842,0.7699,0.5425,0.7991,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
13,0.5644,0.7868,0.5183,0.7877,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
14,0.5625,0.7787,0.5634,0.7736,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
15,0.5550,0.7847,0.5114,0.7952,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
16,0.5331,0.7931,0.5506,0.7907,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
17,0.5269,0.7964,0.4982,0.8075,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
18,0.5192,0.7939,0.6141,0.7559,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
19,0.5195,0.7997,0.4276,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
20,0.5003,0.8014,0.4866,0.8181,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
21,0.5051,0.8048,0.5944,0.7722,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
22,0.4923,0.8068,0.4446,0.8282,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
23,0.4902,0.8093,0.4823,0.8004,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
24,0.4795,0.8113,0.4781,0.8132,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
25,0.4800,0.8109,0.4588,0.8220,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
26,0.4634,0.8245,0.4423,0.8295,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
27,0.4614,0.8199,0.4730,0.8194,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
28,0.4477,0.8252,0.5280,0.7982,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
29,0.4611,0.8149,0.4523,0.8278,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
30,0.3616,0.8564,0.3429,0.8674,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
31,0.3330,0.8700,0.3298,0.8656,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
32,0.3200,0.8754,0.3244,0.8744,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
33,0.3157,0.8759,0.3236,0.8740,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
34,0.3084,0.8775,0.3295,0.8696,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
35,0.3061,0.8792,0.3238,0.8705,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
36,0.2974,0.8816,0.3187,0.8740,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
