Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.1324,0.5547,0.9479,0.6304,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
2,0.8941,0.6502,0.8112,0.6859,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
3,0.8209,0.6794,0.7009,0.7269,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
4,0.7561,0.7067,0.8877,0.6828,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
5,0.7195,0.7228,0.6892,0.73,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
6,0.6876,0.7329,0.6251,0.7621,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
7,0.6666,0.7407,0.7398,0.7154,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
8,0.6339,0.7544,0.6065,0.7652,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
9,0.6233,0.7582,0.674,0.7485,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
10,0.6102,0.7607,0.5838,0.7784,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
11,0.5951,0.7669,0.5771,0.7793,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
12,0.58,0.7747,0.5297,0.7863,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
13,0.57,0.7783,0.5259,0.8013,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
14,0.5641,0.7829,0.5546,0.778,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
15,0.5498,0.7829,0.5575,0.7863,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
16,0.5367,0.7901,0.5496,0.7925,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
17,0.5283,0.7926,0.5828,0.7709,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
18,0.5068,0.8008,0.5699,0.7828,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
19,0.5098,0.8035,0.5315,0.7868,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
20,0.4948,0.8039,0.5751,0.7731,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
21,0.4972,0.8084,0.6861,0.7604,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
22,0.4972,0.8008,0.5964,0.7652,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
23,0.4912,0.8126,0.4259,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
24,0.4715,0.8184,0.4854,0.8154,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
25,0.4784,0.8145,0.5045,0.8119,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
26,0.4645,0.8193,0.4738,0.8229,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
27,0.4564,0.819,0.4643,0.8238,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
28,0.4501,0.8252,0.4956,0.8062,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
29,0.4527,0.8223,0.5036,0.8018,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
30,0.351,0.8611,0.3437,0.8617,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
31,0.3185,0.8778,0.3366,0.8722,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
32,0.3172,0.8775,0.3266,0.8696,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
33,0.3093,0.8788,0.3274,0.8656,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
34,0.3089,0.881,0.3215,0.8727,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
35,0.3061,0.8781,0.3169,0.8731,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
36,0.3041,0.8805,0.3163,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
37,0.3016,0.8826,0.3172,0.8731,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
38,0.2958,0.8796,0.3165,0.878,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
39,0.294,0.8843,0.3164,0.8744,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
40,0.2852,0.886,0.3211,0.8718,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
41,0.2884,0.8868,0.3192,0.8753,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
42,0.284,0.8885,0.3167,0.8722,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
43,0.2785,0.8907,0.321,0.8789,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
44,0.2735,0.8927,0.3373,0.8608,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
45,0.2785,0.8881,0.3095,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
46,0.2744,0.8923,0.3119,0.8771,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
47,0.2758,0.8921,0.3202,0.8722,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
48,0.2719,0.8905,0.3267,0.8652,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
49,0.2573,0.8989,0.3061,0.8846,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
50,0.2662,0.8937,0.3073,0.8736,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
51,0.2623,0.8964,0.3226,0.8714,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
