Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.218,0.5335,1.0152,0.6088,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,1.0853,0.5956,0.8512,0.6894,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,0.8958,0.657,0.9026,0.6608,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,1.0271,0.6294,1.1319,0.6352,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,0.8521,0.6765,0.9545,0.674,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,0.7534,0.712,0.6876,0.7396,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,0.7321,0.7183,0.9224,0.737,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,0.6831,0.7379,0.6961,0.7366,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,0.6604,0.7496,0.6985,0.7454,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,0.6441,0.7507,1.0079,0.73,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,0.6068,0.7635,0.7418,0.7172,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,0.6486,0.7558,0.6098,0.774,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,0.6029,0.7715,0.583,0.8088,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,0.5608,0.7823,0.4927,0.8106,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,0.536,0.7933,0.6019,0.7863,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,0.5716,0.7842,0.723,0.7176,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,0.5233,0.8002,0.5093,0.8031,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,0.497,0.8145,0.6265,0.7621,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,0.4917,0.8158,0.5206,0.7987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,0.4627,0.8201,0.5359,0.7974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,0.459,0.8229,0.4716,0.8291,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,0.4698,0.8183,0.4629,0.8216,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
23,0.4844,0.8141,0.6368,0.7542,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
24,0.4527,0.82,0.5264,0.8088,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
25,0.4127,0.8427,0.4672,0.8278,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
26,0.4168,0.8362,0.5097,0.8203,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
27,0.4076,0.8482,0.5604,0.785,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
28,0.3942,0.8505,0.3982,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
29,0.389,0.8524,0.3659,0.8604,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
30,0.2801,0.8945,0.3005,0.8819,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
31,0.2431,0.9075,0.2848,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
32,0.2343,0.9099,0.3247,0.8692,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
33,0.2331,0.9086,0.3028,0.8815,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
34,0.2244,0.9133,0.2877,0.8868,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
35,0.2189,0.9168,0.2852,0.8833,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
36,0.2148,0.9191,0.2784,0.8916,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
