Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.3146,0.5169,1.0603,0.604,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,0.9951,0.6198,0.9318,0.6656,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,0.8565,0.6668,0.9476,0.6921,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,0.7897,0.6952,0.7765,0.704,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,0.731,0.7165,0.7218,0.7172,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,0.6927,0.7286,0.615,0.7498,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,0.6593,0.7458,0.6613,0.7366,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,0.6395,0.7539,0.6602,0.7502,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,0.5823,0.7732,0.5621,0.7775,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,0.5581,0.7857,0.5732,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,0.5395,0.7921,0.5733,0.7749,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,0.526,0.796,0.4876,0.8097,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,0.5006,0.8084,0.4595,0.826,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,0.4837,0.8169,0.4751,0.8145,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,0.4721,0.8135,0.446,0.8256,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,0.4489,0.8285,0.4202,0.8463,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,0.426,0.8387,0.4403,0.8286,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,0.4248,0.8402,0.4646,0.8163,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,0.4156,0.8438,0.3874,0.8493,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,0.3986,0.8525,0.4718,0.8264,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,0.3804,0.8539,0.4507,0.8304,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,0.398,0.8475,0.3971,0.852,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
23,0.37,0.8602,0.3819,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
24,0.3742,0.8595,0.4349,0.8269,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
25,0.3503,0.8645,0.395,0.8441,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
26,0.3427,0.8654,0.4188,0.8476,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
27,0.333,0.8722,0.4131,0.8511,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
28,0.3308,0.8727,0.3652,0.8608,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
29,0.3264,0.875,0.3441,0.8661,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
30,0.2147,0.919,0.2743,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
31,0.1878,0.9304,0.2753,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
32,0.1673,0.9357,0.2783,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
33,0.1616,0.9388,0.2767,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
34,0.158,0.9412,0.2794,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
35,0.1467,0.9426,0.2812,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
36,0.1397,0.949,0.2948,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
37,0.1413,0.9489,0.2974,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
38,0.1273,0.9536,0.2935,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
39,0.1242,0.9537,0.3005,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
40,0.1241,0.9522,0.294,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
41,0.1135,0.9569,0.3031,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
42,0.1064,0.9604,0.304,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
43,0.1117,0.9591,0.3018,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
44,0.1082,0.9578,0.3038,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
45,0.0993,0.9635,0.3051,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
46,0.0885,0.9671,0.3056,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
47,0.0886,0.967,0.3012,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
48,0.0849,0.969,0.326,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
49,0.0839,0.9689,0.329,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
50,0.0881,0.9671,0.3255,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
51,0.0807,0.9714,0.3354,0.8903,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
52,0.0749,0.974,0.3261,0.8912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
53,0.0738,0.9726,0.3302,0.893,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
54,0.0694,0.9748,0.3291,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
55,0.0647,0.9787,0.3257,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
56,0.0607,0.9803,0.3294,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
57,0.0635,0.9781,0.3513,0.8903,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
58,0.0615,0.9774,0.3464,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
59,0.051,0.9828,0.3518,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
60,0.0479,0.9835,0.3433,0.8903,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
61,0.041,0.9875,0.3361,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
62,0.0397,0.9878,0.334,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
63,0.0391,0.9871,0.3409,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
64,0.0336,0.9912,0.3408,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
65,0.0334,0.9909,0.3402,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
66,0.0352,0.9898,0.3412,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
67,0.0339,0.99,0.3429,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
68,0.0335,0.9906,0.3395,0.893,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
69,0.035,0.9906,0.3437,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
70,0.0341,0.9907,0.3468,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
71,0.0321,0.9909,0.3458,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
72,0.0352,0.9889,0.3416,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
73,0.0326,0.9902,0.3395,0.8934,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
74,0.0298,0.9926,0.3395,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
75,0.0308,0.9913,0.3349,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
76,0.0288,0.9928,0.3352,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
77,0.0285,0.9921,0.3354,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
78,0.0323,0.9908,0.3337,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
79,0.0298,0.9925,0.333,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
80,0.0325,0.9905,0.3431,0.8996,0.3111,0.8868,0.889,0.8814,0.8844,0.9797,0.8766,0.8148,0.8556,0.7791,0.9163,0.9477,[[338   6   1   0   0   0   0]  [ 25 341  19   1   0   1   2]  [  0  25 264  31   3   1   0]  [  0   2  52 391   8   1   3]  [  0   1   8  22 134   6   1]  [  0   0   3   1   6 219  10]  [  2   2   1   4   0   9 326]],48.19
