Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.2299,0.5357,0.8946,0.641,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,1247,0.8686,0.6733,0.8093,0.6863,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,1273,0.7764,0.7092,0.7767,0.7075,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,1490,0.7255,0.7252,0.7518,0.7282,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,2073,0.6632,0.7533,0.6711,0.7441,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,2352,0.6095,0.7736,0.6373,0.7648,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,2667,0.576,0.7895,0.6844,0.7502,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,2673,0.5611,0.7932,0.6807,0.7366,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,2358,0.525,0.8011,0.5783,0.7793,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,2738,0.5065,0.8125,0.6861,0.7661,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,3036,0.5073,0.8168,0.5644,0.7907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,2691,0.5106,0.8117,0.5706,0.7771,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,2481,0.4806,0.8228,0.5354,0.8048,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,2857,0.4638,0.8275,0.5488,0.7952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,3209,0.4432,0.8341,0.4569,0.8273,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,3065,0.4356,0.8365,0.6382,0.7648,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,3013,0.4494,0.8329,0.5432,0.7978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,3078,0.4249,0.8424,0.4941,0.8079,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,3372,0.4057,0.848,0.4934,0.8141,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,3736,0.394,0.8565,0.4642,0.8189,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,3181,0.394,0.8536,0.4639,0.826,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,3528,0.3838,0.8562,0.4787,0.8132,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
23,3377,0.3816,0.858,0.4475,0.8264,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
24,4053,0.3707,0.8633,0.4579,0.8295,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
25,3832,0.3765,0.8628,0.465,0.8203,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
26,3929,0.3609,0.8682,0.4529,0.8339,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
27,3770,0.3509,0.8714,0.4047,0.8454,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
28,3746,0.3519,0.8708,0.4876,0.8203,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
29,3748,0.3594,0.8669,0.4103,0.8401,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
30,3762,0.2615,0.908,0.3229,0.8709,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
31,4173,0.2335,0.9157,0.3212,0.8722,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
32,4294,0.2199,0.9196,0.3214,0.8731,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
33,4516,0.2104,0.9262,0.3168,0.8758,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
34,4505,0.209,0.925,0.3108,0.8753,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
35,4551,0.1979,0.9275,0.3152,0.8744,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
36,4657,0.1954,0.9296,0.3125,0.8767,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
37,4758,0.193,0.9314,0.3067,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
38,4730,0.1891,0.9327,0.3009,0.8815,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
39,4721,0.1884,0.9306,0.3013,0.8872,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
40,4734,0.1843,0.9329,0.3124,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
41,4704,0.1841,0.9334,0.3096,0.8828,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
42,4711,0.1796,0.9357,0.2969,0.8877,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
43,4817,0.1745,0.9357,0.2994,0.8872,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
44,4877,0.1765,0.9347,0.3027,0.8859,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
45,4864,0.1732,0.9358,0.3149,0.889,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
