Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.2338,0.5344,0.8892,0.6485,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,1202,0.9224,0.6491,0.8317,0.6863,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,1254,0.7909,0.6971,0.7688,0.7084,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,1767,0.7097,0.7277,0.659,0.737,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,1864,0.6492,0.7545,0.7509,0.7229,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,1994,0.6242,0.7635,0.7571,0.7009,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,2364,0.5774,0.7805,0.5864,0.7718,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,2218,0.5316,0.8002,0.5881,0.7709,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,2372,0.5432,0.7941,0.6129,0.7718,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,2317,0.4853,0.8183,0.6123,0.7586,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,2580,0.4639,0.8258,0.5001,0.8172,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,3190,0.4331,0.8383,0.5446,0.8022,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,2860,0.4285,0.8403,0.6215,0.7639,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,3145,0.4232,0.8435,0.511,0.8004,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,3370,0.3945,0.855,0.5228,0.7982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,3372,0.384,0.8584,0.4049,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,3925,0.3646,0.8657,0.4835,0.8216,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,3851,0.3507,0.8708,0.3982,0.8467,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,3880,0.3267,0.8781,0.4004,0.8515,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,4016,0.3312,0.8768,0.4435,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,3675,0.327,0.8785,0.3989,0.8502,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,3909,0.305,0.8862,0.3764,0.8498,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
23,4003,0.3086,0.8826,0.4408,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
24,3990,0.3004,0.8903,0.3801,0.8463,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
25,4073,0.2981,0.8878,0.4672,0.8282,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
26,4052,0.3116,0.8825,0.3854,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
27,4015,0.2885,0.8923,0.4066,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
28,4188,0.2779,0.8951,0.4311,0.8392,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
29,4433,0.2849,0.8939,0.3814,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
30,4392,0.1715,0.9348,0.2846,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
31,4812,0.1442,0.9471,0.2807,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
32,5113,0.1417,0.9481,0.2821,0.893,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
33,5108,0.1308,0.9519,0.277,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
34,5180,0.1233,0.9548,0.2771,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
35,5194,0.1246,0.9545,0.2739,0.8934,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
36,5251,0.117,0.9593,0.2691,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
37,5281,0.1181,0.9584,0.2791,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
38,5314,0.1082,0.962,0.2849,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
39,5328,0.1042,0.9631,0.3014,0.8934,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
40,5381,0.1066,0.9619,0.2975,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
41,5373,0.1041,0.9627,0.2976,0.889,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
42,5402,0.0959,0.9654,0.2953,0.893,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
43,5466,0.1013,0.9623,0.296,0.8921,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
44,5471,0.0901,0.9684,0.2973,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
45,5448,0.0923,0.9663,0.2982,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
46,5537,0.0887,0.9681,0.3036,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
