Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter,Hours
1,None,1.2350,0.5418,6.7818,0.5546,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
2,729,0.9409,0.6408,4.7255,0.6198,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
3,1404,0.8269,0.6857,0.8227,0.7022,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
4,1786,0.6889,0.7386,0.6721,0.7361,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
5,2241,0.6201,0.7610,0.6367,0.7410,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
6,2199,0.5710,0.7831,0.6732,0.7414,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
7,2346,0.5461,0.7954,1.1725,0.6837,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
8,3230,0.5427,0.7942,0.5770,0.7758,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
9,2554,0.4868,0.8150,0.5648,0.7767,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
10,2794,0.4733,0.8212,0.5714,0.7784,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
11,3411,0.4353,0.8397,0.5496,0.7912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
12,3334,0.4225,0.8433,0.5315,0.7978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
13,3197,0.3969,0.8523,0.4380,0.8317,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
14,3272,0.3874,0.8515,0.6021,0.7714,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
15,3561,0.3900,0.8553,0.4798,0.8264,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
16,3339,0.3685,0.8647,0.4666,0.8282,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
17,3439,0.3590,0.8675,0.3844,0.8515,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
18,3501,0.3650,0.8670,0.4005,0.8502,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
19,3809,0.3331,0.8763,0.3763,0.8595,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
20,3906,0.3100,0.8840,0.3616,0.8573,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
21,3870,0.3128,0.8827,0.4207,0.8396,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
22,4152,0.3023,0.8885,1.2154,0.8286,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
23,3947,0.3375,0.8749,0.4307,0.8304,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
24,4213,0.2936,0.8874,0.4188,0.8493,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
25,4051,0.3004,0.8880,0.3715,0.8577,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
26,4049,0.2817,0.8939,0.3860,0.8586,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
27,4371,0.2788,0.8956,0.4484,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
28,4260,0.2780,0.8949,0.4008,0.8551,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
29,4508,0.2754,0.8962,0.4235,0.8467,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
30,4008,0.1909,0.9303,0.2713,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
31,4800,0.1456,0.9475,0.2619,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
32,5117,0.1384,0.9483,0.2685,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
33,5151,0.1288,0.9530,0.2650,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
34,5221,0.1272,0.9541,0.2607,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
35,5237,0.1213,0.9551,0.2627,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
36,5293,0.1188,0.9567,0.2641,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
37,5285,0.1115,0.9598,0.2618,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
38,5343,0.1054,0.9609,0.2650,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
39,5373,0.1040,0.9625,0.2624,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
40,5380,0.1044,0.9629,0.2743,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
41,5404,0.0988,0.9634,0.2799,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
42,5459,0.0990,0.9634,0.2794,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
43,5427,0.0956,0.9648,0.2783,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
44,5454,0.0910,0.9671,0.2752,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
45,5534,0.0876,0.9678,0.2830,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
46,5527,0.0843,0.9696,0.2715,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
47,5600,0.0816,0.9715,0.2846,0.9040,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
48,5616,0.0781,0.9728,0.2994,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
49,5612,0.0787,0.9729,0.3204,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
50,5622,0.0797,0.9717,0.3130,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
51,5634,0.0779,0.9724,0.2983,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
52,5669,0.0723,0.9753,0.3153,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
53,5696,0.0806,0.9697,0.2936,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
54,5753,0.0756,0.9713,0.2876,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
55,5712,0.0720,0.9741,0.3110,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
56,5717,0.0687,0.9764,0.3069,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
57,5791,0.0629,0.9779,0.3122,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
58,5775,0.0679,0.9764,0.3056,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
59,5784,0.0663,0.9771,0.3253,0.8921,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
60,5757,0.0509,0.9839,0.3026,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
61,5862,0.0423,0.9875,0.3011,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
62,5891,0.0456,0.9861,0.3030,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
63,5891,0.0410,0.9870,0.2982,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
