Epoch,Number_of_Unlabed_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.2509,0.5303,1.9791,0.5868,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,1319,0.9066,0.6546,0.7906,0.6969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,1260,0.7497,0.7129,0.7364,0.7053,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,1395,0.6758,0.7417,0.6912,0.7344,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,1302,0.6494,0.7549,0.6047,0.7736,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,1483,0.587,0.776,0.6297,0.7771,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,2116,0.5363,0.7914,0.588,0.7714,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,2444,0.5236,0.8038,0.5177,0.7982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,2549,0.481,0.8189,0.5701,0.7806,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,2154,0.4699,0.8265,0.5377,0.7837,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,2469,0.4557,0.8287,0.639,0.7656,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,3215,0.4502,0.8298,0.4875,0.807,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,2783,0.4268,0.8418,0.4547,0.833,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,3067,0.3913,0.8523,0.5042,0.8101,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,3066,0.3817,0.8599,0.4771,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,3441,0.3557,0.8667,0.4211,0.8396,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,3559,0.352,0.8683,0.3735,0.8568,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,3445,0.3407,0.8728,0.3946,0.8467,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,3503,0.3269,0.88,0.4646,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,3509,0.3351,0.876,0.4243,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,3661,0.3232,0.8794,0.4077,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,3226,0.3153,0.8808,0.4045,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
