Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.2707,0.5017,1.0304,0.5890,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
2,1.0027,0.6109,0.9398,0.6581,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
3,0.8926,0.6522,0.8292,0.7057,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
4,0.7938,0.6916,0.8123,0.6718,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
5,0.7131,0.7258,0.6554,0.7388,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
6,0.6714,0.7437,0.6709,0.7330,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
7,0.6315,0.7616,0.6628,0.7454,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
8,0.5938,0.7688,0.5826,0.7753,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
9,0.5740,0.7784,0.5024,0.8053,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
10,0.5334,0.7960,0.6690,0.7405,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
11,0.5028,0.8085,0.4961,0.7969,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
12,0.4705,0.8214,0.4675,0.8247,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
13,0.4465,0.8232,0.4468,0.8216,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
14,0.4498,0.8302,0.4600,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
15,0.4103,0.8419,0.4298,0.8304,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
16,0.4211,0.8318,0.7245,0.7454,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
17,0.3933,0.8491,0.4723,0.8128,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
18,0.3762,0.8562,0.4981,0.8207,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
19,0.3831,0.8574,0.4644,0.8220,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
20,0.3482,0.8635,0.4674,0.8203,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
21,0.3511,0.8626,0.5280,0.8026,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
22,0.3244,0.8753,0.4350,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
23,0.3265,0.8785,0.4504,0.8458,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
24,0.3198,0.8766,0.4914,0.8211,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
25,0.3051,0.8862,0.4801,0.8194,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
26,0.2935,0.8884,0.4155,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
27,0.2877,0.8922,0.5054,0.8242,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
28,0.2615,0.9009,0.4322,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
29,0.2850,0.8911,0.4257,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
30,0.1754,0.9389,0.3623,0.8617,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
31,0.1472,0.9484,0.3272,0.8802,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
32,0.1258,0.9580,0.3488,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
33,0.1155,0.9611,0.3437,0.8771,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
34,0.1138,0.9627,0.3343,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
35,0.1032,0.9676,0.3585,0.8683,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
36,0.0982,0.9684,0.3419,0.8740,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
37,0.0905,0.9723,0.3501,0.8714,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
38,0.0853,0.9704,0.3704,0.8630,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
39,0.0811,0.9746,0.3729,0.8648,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
40,0.0750,0.9781,0.4210,0.8489,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
41,0.0765,0.9761,0.3842,0.8652,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
42,0.0710,0.9792,0.4185,0.8630,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
43,0.0668,0.9789,0.3685,0.8767,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
44,0.0604,0.9827,0.3715,0.8855,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
45,0.0685,0.9784,0.3761,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
46,0.0587,0.9823,0.3815,0.8687,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
47,0.0572,0.9823,0.3991,0.8731,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
48,0.0516,0.9844,0.4580,0.8493,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
49,0.0545,0.9827,0.4330,0.8511,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
