Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.2692,0.4988,0.9466,0.6498,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
2,0.9656,0.6256,0.8081,0.689,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
3,0.8625,0.6597,0.7514,0.7013,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
4,0.7846,0.6986,0.6664,0.7458,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
5,0.724,0.7219,0.722,0.7159,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
6,0.6739,0.7383,0.5381,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
7,0.6343,0.7522,0.6038,0.7696,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
8,0.5845,0.7752,0.641,0.7608,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
9,0.5713,0.7806,0.5286,0.789,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
10,0.548,0.7847,0.6802,0.7374,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
11,0.5055,0.8032,0.4463,0.822,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
12,0.4861,0.8156,0.6029,0.7833,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
13,0.4722,0.8218,0.4636,0.8181,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
14,0.453,0.8284,0.4775,0.8141,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
15,0.4068,0.8416,0.4546,0.8251,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
16,0.4035,0.8471,0.4643,0.8141,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
17,0.3869,0.8503,0.428,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
18,0.3726,0.8571,0.4223,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
19,0.3722,0.86,0.5002,0.8084,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
20,0.3487,0.8657,0.4528,0.8322,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
21,0.3405,0.8688,0.4266,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
22,0.3251,0.8754,0.3966,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
23,0.3081,0.8835,0.4822,0.8207,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
24,0.2975,0.8887,0.428,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
25,0.2902,0.8907,0.642,0.7991,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
26,0.2742,0.8964,0.4835,0.8238,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
27,0.2841,0.8916,0.359,0.8608,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
28,0.2722,0.8984,0.3538,0.8652,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
29,0.2611,0.8995,0.3925,0.8502,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
30,0.1578,0.9469,0.29,0.885,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
31,0.1307,0.9546,0.2858,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
32,0.121,0.9585,0.2864,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
33,0.1112,0.9638,0.2831,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
34,0.1045,0.9671,0.2935,0.8837,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
35,0.0923,0.9706,0.2933,0.8899,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
36,0.0932,0.9706,0.3058,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
37,0.0869,0.9733,0.312,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
38,0.0844,0.973,0.3073,0.8859,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
39,0.0829,0.9747,0.322,0.8881,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
40,0.0773,0.9754,0.3164,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
41,0.0712,0.9783,0.3236,0.8833,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
42,0.0626,0.9823,0.3194,0.8855,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
43,0.0663,0.9806,0.321,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
44,0.0622,0.9814,0.3273,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
45,0.0565,0.9839,0.3205,0.8903,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
46,0.0593,0.9832,0.3272,0.8846,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
47,0.0536,0.9848,0.3331,0.8868,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
