Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Hours
1,1.2811,0.4947,1.1487,0.5529,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
2,0.997,0.6215,0.8465,0.6692,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
3,0.8707,0.6645,0.7834,0.6806,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
4,0.8172,0.6834,0.7182,0.7211,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
5,0.7362,0.7102,0.654,0.7493,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
6,0.6991,0.7302,0.5912,0.778,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
7,0.6336,0.7558,0.5507,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
8,0.603,0.7664,0.5265,0.7916,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
9,0.5907,0.7751,0.6477,0.7581,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
10,0.5394,0.793,0.5413,0.7753,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
11,0.5183,0.801,0.6186,0.767,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
12,0.4825,0.8154,0.5466,0.7952,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
13,0.4707,0.8145,0.5171,0.7938,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
14,0.446,0.8307,0.4634,0.8101,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
15,0.4257,0.8353,0.633,0.7665,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
16,0.4266,0.832,0.5054,0.7938,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
17,0.3921,0.849,0.5484,0.7987,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
18,0.4014,0.8459,0.422,0.8317,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
19,0.3752,0.8556,0.4929,0.8097,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
20,0.3718,0.8584,0.5117,0.8079,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
21,0.35,0.8631,0.4336,0.826,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
22,0.3489,0.8634,0.4225,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
23,0.3287,0.8724,0.4469,0.8264,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
24,0.3051,0.8856,0.4317,0.8322,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
25,0.3157,0.878,0.4459,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
26,0.2956,0.888,0.5079,0.8101,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
27,0.2875,0.888,0.4237,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
28,0.2879,0.8902,0.5117,0.811,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
29,0.2803,0.8932,0.4062,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
30,0.1777,0.9365,0.3211,0.8722,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
31,0.1438,0.9509,0.3307,0.8687,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
32,0.1283,0.957,0.3207,0.8718,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
33,0.1173,0.9628,0.3168,0.8709,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
34,0.1094,0.9653,0.3266,0.8744,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
35,0.0981,0.968,0.3275,0.8767,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
36,0.0949,0.9696,0.323,0.878,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
37,0.0908,0.9706,0.3412,0.8692,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
38,0.0881,0.9723,0.3373,0.8758,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
39,0.0766,0.9783,0.3435,0.8696,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
40,0.0749,0.9778,0.3453,0.8683,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
41,0.0765,0.9772,0.3438,0.874,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
42,0.0702,0.9788,0.338,0.874,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
43,0.0654,0.9816,0.3476,0.8758,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
44,0.0653,0.9795,0.3494,0.8696,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
