Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.3601,0.4763,1.1063,0.5872,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
2,1.0772,0.5768,0.9140,0.6480,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
3,0.9616,0.6234,0.8586,0.6639,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
4,0.8838,0.6527,0.8359,0.6797,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
5,0.8283,0.6791,0.7417,0.7198,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
6,0.7821,0.6977,0.7838,0.6903,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
7,0.7560,0.7026,0.7122,0.7225,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
8,0.7233,0.7233,0.7111,0.7132,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
9,0.7074,0.7214,0.6453,0.7480,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
10,0.6954,0.7314,0.6411,0.7520,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
11,0.6775,0.7386,0.6361,0.7498,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
12,0.6621,0.7466,0.6437,0.7463,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
13,0.6458,0.7512,0.6537,0.7520,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
14,0.6441,0.7498,0.6697,0.7291,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
15,0.6145,0.7594,0.5491,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
16,0.6173,0.7597,0.6587,0.7423,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
17,0.6041,0.7647,0.5470,0.7881,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
18,0.5836,0.7730,0.5360,0.7885,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
19,0.5841,0.7690,0.5561,0.7762,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
20,0.5712,0.7756,0.5394,0.7947,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
21,0.5575,0.7843,0.5430,0.7952,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
22,0.5587,0.7842,0.6037,0.7599,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
23,0.5645,0.7823,0.5792,0.7718,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
24,0.5518,0.7829,0.5382,0.7881,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
25,0.5465,0.7861,0.5154,0.7899,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
26,0.5290,0.7966,0.5294,0.7916,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
27,0.5215,0.7914,0.5473,0.7811,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
28,0.5164,0.7999,0.5999,0.7617,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
29,0.5184,0.7945,0.5061,0.7912,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
30,0.4351,0.8324,0.4575,0.8172,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
31,0.4143,0.8387,0.4411,0.8260,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
32,0.4030,0.8401,0.4331,0.8317,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
33,0.3962,0.8453,0.4344,0.8260,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
34,0.3900,0.8470,0.4299,0.8295,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
35,0.3846,0.8507,0.4358,0.8282,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
36,0.3839,0.8523,0.4187,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
37,0.3807,0.8490,0.4153,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
38,0.3821,0.8495,0.4238,0.8291,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
39,0.3755,0.8508,0.4140,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
40,0.3734,0.8542,0.4300,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
41,0.3772,0.8496,0.4211,0.8286,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
42,0.3671,0.8556,0.4149,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
43,0.3737,0.8553,0.4116,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
44,0.3703,0.8523,0.4082,0.8392,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
45,0.3635,0.8573,0.4168,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
46,0.3644,0.8560,0.4073,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
47,0.3590,0.8556,0.4088,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
48,0.3579,0.8607,0.4122,0.8322,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
49,0.3586,0.8599,0.4094,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
50,0.3564,0.8613,0.4140,0.8370,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
51,0.3582,0.8603,0.4200,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
52,0.3513,0.8616,0.4037,0.8463,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
53,0.3532,0.8623,0.4031,0.8410,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
54,0.3516,0.8591,0.3998,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
55,0.3489,0.8629,0.4141,0.8396,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
56,0.3487,0.8634,0.4191,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
57,0.3454,0.8656,0.3956,0.8480,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
58,0.3503,0.8607,0.3988,0.8454,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
