Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.3901,0.4723,1.1427,0.5824,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
2,1.0901,0.5822,0.9037,0.6542,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
3,0.9878,0.6184,0.8763,0.6581,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
4,0.9063,0.6479,0.8533,0.6819,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
5,0.8655,0.6575,0.8509,0.6767,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
6,0.8075,0.6867,0.8241,0.6952,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
7,0.7713,0.7008,0.6966,0.7264,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
8,0.7309,0.7156,0.6757,0.7326,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
9,0.7044,0.7261,0.7173,0.7189,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
10,0.6859,0.734,0.6259,0.7502,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
11,0.6731,0.7364,0.6208,0.7599,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
12,0.6463,0.7483,0.7146,0.7436,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
13,0.6382,0.7525,0.6379,0.7621,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
14,0.6465,0.7491,0.5777,0.7802,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
15,0.6151,0.7594,0.6007,0.7621,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
16,0.6053,0.7696,0.6151,0.7555,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
17,0.6041,0.7645,0.6008,0.763,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
18,0.5772,0.7784,0.5594,0.7767,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
19,0.5917,0.7722,0.5998,0.7727,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
20,0.5828,0.7762,0.5913,0.774,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
21,0.5596,0.7844,0.5671,0.7767,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
22,0.552,0.7867,0.6108,0.7515,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
23,0.5455,0.7876,0.5172,0.7947,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
24,0.5367,0.7917,0.6085,0.7634,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
25,0.5367,0.789,0.5303,0.7965,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
26,0.5392,0.7883,0.5165,0.7982,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
27,0.5238,0.7941,0.552,0.7912,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
28,0.5254,0.8001,0.5246,0.7934,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
29,0.5092,0.8026,0.4975,0.8044,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
30,0.4207,0.8375,0.4348,0.8225,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
31,0.3963,0.8472,0.4322,0.8194,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
32,0.3953,0.8469,0.4259,0.8233,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
33,0.3876,0.8497,0.4271,0.8286,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
34,0.3832,0.8487,0.4133,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
35,0.3803,0.8522,0.4146,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
36,0.38,0.8533,0.4219,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
37,0.3766,0.8545,0.4078,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
38,0.3727,0.852,0.4151,0.8313,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
39,0.3684,0.8577,0.4172,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
40,0.3675,0.855,0.4283,0.83,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
41,0.3677,0.8512,0.4222,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
42,0.3645,0.8573,0.4538,0.8238,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
43,0.3608,0.8583,0.406,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
44,0.3589,0.8583,0.4254,0.826,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
45,0.3571,0.8639,0.4174,0.8317,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
46,0.3619,0.8579,0.4323,0.8273,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
47,0.3528,0.8623,0.4095,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
48,0.3583,0.8595,0.4069,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
49,0.354,0.8635,0.4186,0.8392,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
50,0.3473,0.8669,0.4148,0.833,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
51,0.3481,0.8623,0.4074,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
52,0.3444,0.8628,0.4144,0.8348,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
53,0.343,0.8678,0.412,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
54,0.3439,0.865,0.4121,0.8348,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
