Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.7082,0.4421,1.2048,0.5185,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
2,1.0267,0.5970,0.8773,0.6608,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
3,0.8665,0.6601,0.7893,0.6903,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
4,0.8039,0.6822,0.8736,0.6604,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
5,0.7720,0.6964,0.7428,0.7000,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
6,0.7178,0.7169,0.7008,0.7374,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
7,0.6985,0.7272,0.7456,0.7000,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
8,0.6466,0.7477,0.7893,0.7066,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
9,0.6363,0.7504,0.6605,0.7335,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
10,0.6202,0.7561,0.6654,0.7441,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
11,0.5968,0.7713,0.6613,0.7670,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
12,0.5773,0.7752,0.6152,0.7604,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
13,0.5619,0.7784,0.6355,0.7476,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
14,0.5510,0.7839,0.7228,0.7203,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
15,0.5397,0.7872,0.5751,0.7859,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
16,0.5230,0.7909,0.5422,0.7837,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
17,0.5030,0.8018,0.5859,0.7744,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
18,0.4900,0.8094,0.5375,0.7960,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
19,0.4907,0.8046,0.5229,0.8009,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
20,0.4709,0.8153,0.5634,0.7815,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
21,0.4777,0.8110,0.5688,0.7815,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
22,0.4658,0.8161,0.5296,0.8040,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
23,0.4390,0.8234,0.5467,0.7916,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
24,0.4523,0.8226,0.4759,0.8203,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
25,0.4326,0.8338,0.5696,0.7863,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
26,0.4297,0.8275,0.5008,0.8057,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
27,0.4345,0.8288,0.5347,0.7934,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
28,0.4194,0.8348,0.5458,0.7943,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
29,0.4237,0.8357,0.5001,0.8079,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
30,0.3085,0.8764,0.4515,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
31,0.2846,0.8878,0.4422,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
32,0.2695,0.8954,0.4636,0.8295,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
33,0.2577,0.9020,0.4566,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
34,0.2548,0.8981,0.4588,0.8410,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
35,0.2469,0.9041,0.4518,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
36,0.2546,0.8988,0.4643,0.8370,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
37,0.2453,0.9058,0.4598,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
38,0.2392,0.9046,0.4541,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
39,0.2376,0.9079,0.4670,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
40,0.2376,0.9044,0.4685,0.8454,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
41,0.2288,0.9113,0.4743,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
42,0.2301,0.9121,0.4761,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
43,0.2251,0.9128,0.4717,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
44,0.2246,0.9131,0.4703,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
45,0.2174,0.9151,0.4840,0.8304,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
46,0.2156,0.9178,0.4933,0.8317,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
47,0.2178,0.9116,0.4957,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
48,0.2139,0.9158,0.4867,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
49,0.2108,0.9177,0.4943,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
50,0.2103,0.9187,0.5134,0.8322,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
51,0.2059,0.9184,0.5010,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
52,0.2048,0.9198,0.4989,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
53,0.2021,0.9209,0.5165,0.8282,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
54,0.1913,0.9242,0.5092,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
55,0.1932,0.9274,0.5230,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
56,0.1972,0.9215,0.5092,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
57,0.1868,0.9278,0.5253,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
58,0.1908,0.9271,0.5308,0.8330,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
59,0.1854,0.9285,0.5209,0.8445,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
60,0.1612,0.9378,0.5213,0.8410,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
61,0.1548,0.9397,0.5328,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
62,0.1501,0.9433,0.5312,0.8392,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
63,0.1506,0.9449,0.5416,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
64,0.1536,0.9412,0.5430,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
65,0.1542,0.9422,0.5417,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
66,0.1515,0.9440,0.5472,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
67,0.1482,0.9449,0.5444,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
68,0.1461,0.9442,0.5476,0.8419,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
69,0.1506,0.9448,0.5552,0.8419,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
70,0.1468,0.9449,0.5584,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
71,0.1464,0.9458,0.5555,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
72,0.1479,0.9444,0.5553,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
73,0.1456,0.9485,0.5567,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
74,0.1448,0.9435,0.5590,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
75,0.1479,0.9436,0.5569,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
76,0.1440,0.9469,0.5598,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
77,0.1438,0.9451,0.5609,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
78,0.1424,0.9456,0.5667,0.8401,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
79,0.1433,0.9447,0.5658,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,85.80
80,0.1437,0.9437,0.5629,0.8361,0.4731,0.8330,0.8226,0.8208,0.8215,0.9565,0.8483,0.7315,0.7965,0.6395,0.8577,0.9157,[[330  12   2   0   0   0   1]  [ 18 330  34   6   1   0   0]  [  0  20 237  52   9   5   1]  [  0   2  46 364  35   7   3]  [  0   3  16  31 110  12   0]  [  1   1   3   5   8 205  16]  [  0   3   3   6   3  14 315]],85.80
