Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.7326,0.4469,1.0763,0.5841,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
2,0.9909,0.6112,0.8448,0.6744,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
3,0.8823,0.6491,0.8371,0.674,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
4,0.8238,0.6753,0.7738,0.6934,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
5,0.757,0.702,0.7807,0.6991,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
6,0.7216,0.7164,0.7802,0.704,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
7,0.6866,0.7291,0.7018,0.7308,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
8,0.6493,0.7424,0.6464,0.7507,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
9,0.6313,0.7523,0.6568,0.7423,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
10,0.6132,0.7569,0.6215,0.7612,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
11,0.59,0.7666,0.5851,0.7837,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
12,0.5846,0.768,0.5934,0.7634,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
13,0.5555,0.783,0.5574,0.7903,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
14,0.5444,0.7871,0.574,0.7841,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
15,0.5249,0.7916,0.5222,0.7996,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
16,0.5205,0.7957,0.615,0.7722,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
17,0.5104,0.8017,0.5495,0.7881,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
18,0.5012,0.8023,0.5006,0.8035,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
19,0.4973,0.8048,0.513,0.7978,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
20,0.4735,0.8115,0.5424,0.7894,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
21,0.4617,0.8137,0.6734,0.7432,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
22,0.4636,0.8196,0.5491,0.7921,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
23,0.4509,0.8208,0.589,0.7815,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
24,0.4484,0.8238,0.5279,0.7987,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
25,0.4426,0.8214,0.5302,0.7925,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
26,0.4333,0.8289,0.4957,0.8066,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
27,0.4244,0.8351,0.5009,0.807,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
28,0.4243,0.8357,0.4672,0.8198,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
29,0.4132,0.8378,0.5657,0.7903,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
30,0.3075,0.8802,0.4223,0.8458,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
31,0.2796,0.8923,0.4252,0.8489,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
32,0.2728,0.8929,0.4472,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
33,0.268,0.8936,0.4423,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
34,0.2609,0.8959,0.4465,0.8471,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
35,0.2513,0.9014,0.4553,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
36,0.2501,0.9016,0.4484,0.8445,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
37,0.2458,0.9034,0.4592,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
38,0.2434,0.902,0.4539,0.8432,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
39,0.2347,0.9094,0.4682,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
40,0.2385,0.9046,0.4504,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
41,0.2363,0.9053,0.4668,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
42,0.2321,0.9094,0.4563,0.8432,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
43,0.2264,0.9118,0.4878,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
44,0.2261,0.9115,0.4637,0.8445,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
45,0.2219,0.9139,0.4657,0.8454,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
46,0.2204,0.9133,0.4903,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
47,0.2204,0.9153,0.484,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
48,0.2137,0.9145,0.4854,0.8463,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
49,0.2106,0.9172,0.4838,0.8449,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
50,0.2128,0.9159,0.5008,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
51,0.2106,0.9186,0.4912,0.8445,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
52,0.2047,0.9206,0.492,0.8463,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
53,0.2013,0.9198,0.4922,0.8537,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
54,0.2027,0.919,0.4787,0.8458,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
55,0.201,0.9203,0.5075,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
56,0.1986,0.9225,0.5101,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
57,0.1983,0.9207,0.4891,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
58,0.1948,0.9239,0.4907,0.8529,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
59,0.188,0.9264,0.5162,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
60,0.1685,0.9367,0.4961,0.8529,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
61,0.1568,0.9388,0.5008,0.8546,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
62,0.1573,0.9407,0.5001,0.8559,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
63,0.1538,0.9429,0.5056,0.8511,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
64,0.157,0.9399,0.5138,0.8559,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
65,0.1513,0.9424,0.5181,0.8559,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
66,0.1521,0.9434,0.5174,0.8537,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
67,0.1502,0.9419,0.52,0.8546,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
68,0.1454,0.9462,0.5262,0.8529,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
69,0.1501,0.9442,0.5263,0.8524,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
70,0.1515,0.9426,0.5194,0.8529,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
71,0.1548,0.9433,0.5227,0.8533,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
72,0.1468,0.9437,0.5263,0.852,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
73,0.1501,0.944,0.5263,0.8546,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
74,0.1485,0.9454,0.5268,0.8515,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
75,0.1469,0.9458,0.5309,0.8533,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
76,0.1471,0.9477,0.5349,0.8502,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
77,0.148,0.9452,0.5363,0.8524,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
78,0.1462,0.9446,0.5419,0.8493,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
79,0.1435,0.9462,0.5392,0.8537,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
80,0.147,0.9456,0.5378,0.8511,0.541,0.8352,0.8276,0.8248,0.8256,0.9623,0.8149,0.7438,0.8249,0.6802,0.8494,0.8983,[[332  12   1   0   0   0   0]  [ 26 317  36   7   1   1   1]  [  0  14 241  53  12   4   0]  [  0   3  47 377  24   4   2]  [  0   1  15  29 117   8   2]  [  1   1   3   5  13 203  13]  [  0   2   2   7   3  21 309]],85.8
